condition,channel,p_bar,H_bits,Srel,Iacc,active_training_channel
imagereward,imagereward,0.46590282304821773,0.9539516361608996,0.018153335185508004,0.9264304831393503,imagereward
pickscore,pickscore,0.42154814592319767,0.9453601704314625,0.012620133976684008,0.9063640049540573,pickscore
ir_ps,ir_ps_combined,0.4542735426260881,0.9635753460109118,0.013897786939043555,0.9335022061111508,ir_ps_combined
