source_problem,549,863,1139,1296,1689,2119,3075,3386,3442,3626,3689,4250,4444,4998,5809,5944,6067,7665,7690,7790,8354,8993,9187,9195,9622,9857,9940,11788,12365,12403,12633,13162,13784,13941,14880,15185,15543,15592,17729,17768
549,0.7078460716020625,1.0,0.13283974175089558,0.9999999999999555,0.9999999999999555,0.7322807637952966,0.9999999999999473,1.0,0.9999999999999477,0.7322807637952966,0.9999999999999489,1.0,0.7322807637952966,1.0,0.2974079700898566,1.0,1.0,1.0,1.0,0.9999999999999555,1.0,0.6131416753492446,1.0,0.7322807637952966,0.6718665237697775,0.17686380452420827,1.0,0.9999999999999555,0.16361207629982735,1.0,1.0,0.4455030680005929,0.9999999999999477,0.1960729832360681,0.9999999999999559,1.0,0.28690875044342584,0.9999999999999555,0.7078460716020625,0.99999999999994
863,0.6128024980484027,1.0,0.6088432495197877,0.9999999999999555,0.9999999999999555,0.6718665237697775,0.5722313004492935,1.0,1.0,1.0,0.04456681429335919,1.0,0.5091814002914751,1.0,0.7994067946255032,1.0,0.10419560989163337,1.0,1.0,0.9999999999999477,0.9999999999999555,0.44550306800059686,1.0,0.024173381494857826,0.9999999999999477,0.123489567291333,1.0,1.0,0.47412292888373175,1.0,1.0,0.2974079700898566,0.9999999999999359,0.4920634920634624,0.7994067946255121,1.0,0.9999999999999383,0.9999999999999555,0.3870326164085492,1.0
1139,0.6718665237697775,1.0,0.20741093783380338,0.4920634920634624,1.0,0.7499603359975239,0.9999999999999497,1.0,0.7322807637952966,1.0,0.12818713266209272,1.0,0.3020177056093205,1.0,1.0,1.0,0.23809523809522995,1.0,0.9999999999999359,0.4920634920634624,0.6128024980484027,0.11715886708835213,1.0,1.0,0.1960729832360681,0.1477164709495249,1.0,0.23809523809522995,0.11715886708835188,1.0,1.0,0.6159298434548257,0.9999999999999507,0.1131928181108516,0.5849733468189071,0.9999999999999555,1.0,0.9999999999999555,0.16361207629982735,0.9999999999999596
1296,0.47412292888373175,1.0,0.8028522995136262,1.0,0.4920634920634624,0.9999999999999359,0.18769112478459354,1.0,0.6128024980484027,0.5091814002914751,0.9999999999999744,1.0,1.0,1.0,0.9999999999999473,1.0,0.4257664165971848,1.0,1.0,0.4257664165971848,0.6718665237697775,0.9999999999999468,1.0,0.9999999999999268,1.0,0.014127515268995437,1.0,0.9999999999999477,0.7735342178848835,1.0,1.0,0.45003384117218187,1.0,0.6128024980484027,0.19629261962559644,1.0,0.28690875044342584,0.23809523809522995,0.005164719753189106,0.999999999999961
1689,1.0,1.0,0.6159298434548257,1.0,1.0,0.6128024980484027,0.41896268554649446,1.0,0.3546708300806452,0.9999999999999507,0.45003384117218187,1.0,0.9999999999999766,1.0,0.6088432495197877,1.0,1.0,1.0,0.9999999999999477,0.4920634920634624,0.9999999999999359,0.7994067946255032,1.0,0.9999999999999555,1.0,0.10914383780468945,0.9999999999999555,1.0,0.053421271990756684,1.0,1.0,0.9999999999999484,0.6128024980484027,0.9999999999999766,0.6088432495197872,0.9999999999999555,0.28690875044342584,1.0,1.0,0.049992228979577245
2119,0.9999999999999766,1.0,0.07873697976079387,0.9999999999999555,0.4920634920634624,0.5091814002914751,0.3649202651702522,1.0,0.1131928181108516,0.1960729832360681,0.9999999999999489,1.0,0.4257664165971848,1.0,1.0,1.0,0.6128024980484027,1.0,0.9999999999999555,0.9999999999999477,0.4257664165971848,0.11715886708835213,1.0,0.9999999999999507,0.6128024980484027,0.0003110296780536961,1.0,1.0,0.5849733468189037,1.0,1.0,0.6173015225853442,0.9999999999999477,0.9999999999999555,0.6173015225853442,1.0,0.07873697976079388,0.4920634920634624,1.0,0.999999999999961
3075,0.9999999999999766,1.0,0.6173015225853437,0.9999999999999555,0.9999999999999555,1.0,0.5722313004492935,1.0,0.9999999999999359,0.33719644621573897,0.07873697976079388,1.0,0.9999999999999766,1.0,0.7928083994971556,1.0,0.9999999999999555,1.0,0.9999999999999555,0.4920634920634624,1.0,1.0,1.0,0.9999999999999766,0.3546708300806452,0.30201770560932223,1.0,0.9999999999999555,1.0,0.9999999999999555,1.0,0.022555392433139445,1.0,1.0,1.0,1.0,1.0,0.9999999999999555,0.9999999999999507,0.999999999999961
3386,1.0,1.0,0.999999999999963,0.6128024980484027,0.9999999999999555,0.7499603359975239,0.7735342178848835,1.0,0.6718665237697775,0.9999999999999507,0.2110302136247011,1.0,0.7322807637952966,1.0,0.4302230986172843,1.0,0.10419560989163337,1.0,0.9999999999999555,0.9999999999999477,0.9999999999999359,0.4535802488250791,1.0,0.2565186235942628,0.9999999999999359,0.2573935375800334,1.0,0.9999999999999555,0.33719644621573897,1.0,1.0,0.9999999999999489,0.9999999999999359,1.0,0.5849733468189071,0.9999999999999555,0.009734798019039098,1.0,1.0,0.9999999999999488
3442,0.9999999999999507,1.0,0.9999999999999591,0.9999999999999555,1.0,1.0,0.9999999999999262,1.0,0.3546708300806452,0.6128024980484027,0.2110302136247011,1.0,0.3546708300806452,1.0,0.10914383780468806,1.0,0.23809523809522995,1.0,0.9999999999999477,1.0,0.9999999999999477,0.5950345990172374,1.0,0.1960729832360681,0.9999999999999477,0.4047644053060845,1.0,1.0,0.03191018252358944,1.0,1.0,0.6088432495197877,0.9999999999999359,0.9999999999999359,0.07692467049215808,1.0,0.3870326164085492,0.9999999999999555,0.9999999999999171,0.5722313004493043
