source_problem,source_num_steps,A_verifier_uncertainty_bits,verifier_uncertainty_bound_bits,verifier_uncertainty_bound_fraction,A_verifier_variance,verifier_variance_bound,verifier_variance_bound_fraction,verifier_uncertainty_start_bits,verifier_uncertainty_final_bits,verifier_uncertainty_delta_bits,verifier_variance_start,verifier_variance_final,verifier_variance_delta,action_entropy_start_per_token_nats,action_entropy_final_per_token_nats,action_entropy_shrink_per_token_nats,action_entropy_start_seq_nats,action_entropy_final_seq_nats,action_entropy_shrink_seq_nats,action_entropy_cumulative_per_token_nats,correct_action_entropy_start_per_token_nats,correct_action_entropy_final_per_token_nats,correct_action_entropy_shrink_per_token_nats,correct_action_entropy_start_step,correct_action_entropy_final_step,correct_action_entropy_start_seq_nats,correct_action_entropy_final_seq_nats,correct_action_entropy_shrink_seq_nats,incorrect_action_entropy_start_per_token_nats,incorrect_action_entropy_final_per_token_nats,incorrect_action_entropy_shrink_per_token_nats,source_p_start,source_p_final,source_p_max,verifier_sharpness_final,self_delta_p_common,mean_delta_p_common_offdiag,mean_positive_delta_p_common_offdiag
1139,16,15.545373609939784,16.0,0.9715858506212365,3.8447265625,4.0,0.961181640625,0.954434002924965,0.9971803988942642,-0.04274639596929919,0.234375,0.2490234375,-0.0146484375,0.19383050396572798,0.19358533876948059,0.00024516519624739885,118.98307871818542,116.41731691360474,2.5657618045806885,2.7414225346874446,0.1784237946073214,0.17988676031430562,-0.001462965706984204,1,16,109.98807144165039,106.48106791178385,3.5070035298665374,0.20307452958077193,0.20567231975934086,-0.002597790178568926,0.375,0.46875,0.6875,0.0028196011057357584,0.21796875,0.04523237179487178,0.053645833333333316
11788,16,1.8143594971019008,16.0,0.1133974685688688,0.296875,4.0,0.07421875,0.0,0.3372900666170139,-0.3372900666170139,0.0,0.05859375,-0.05859375,0.4144963414873928,0.41192935034632683,0.002566991141065955,283.2140645980835,288.8945486545563,-5.680484056472778,6.62353376718238,0.12301122397184372,0.2815288007259369,-0.15851757675409317,2,16,112.18623352050781,176.82843017578125,-64.64219665527344,0.4144963414873928,0.4206227203210195,-0.006126378833626711,0.0,0.0625,0.0625,0.6627099333829861,-0.01953125,0.008854166666666663,0.029026442307692298
12365,16,14.54157371129917,16.0,0.9088483569561981,3.521484375,4.0,0.88037109375,0.6962122601251458,0.9886994082884974,-0.29248714816335164,0.15234375,0.24609375,-0.09375,0.594939136877656,0.24047312187030911,0.35446601500734687,342.4181785583496,169.86354279518127,172.55463576316833,5.43868331448175,0.42212311923503876,0.21411763025181635,0.2080054889832224,1,16,260.28692626953125,151.40755789620536,108.87936837332589,0.6348197563336446,0.2609718375735813,0.37384791876006335,0.1875,0.4375,0.75,0.01130059171150255,0.51171875,0.011258012820512822,0.032451923076923066
12403,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615700514987111,0.9247585432603955,0.03681150823831558,551.0385823249817,537.3769464492798,13.661635875701904,15.524040876422077,,,,0,0,,,,0.9615700514987111,0.9247585432603955,0.03681150823831558,0.0,0.0,0.0,1.0,-0.00078125,0.0027644230769230654,0.024338942307692298
12633,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4107270650565624,1.2890778630971909,0.12164920195937157,706.7166833877563,650.418475151062,56.298208236694336,20.384814254939556,,,,0,0,,,,1.4107270650565624,1.2890778630971909,0.12164920195937157,0.0,0.0,0.0,1.0,-0.0015625,-0.019651442307692304,0.01350160256410256
1296,16,2.7760430565563747,16.0,0.17350269103477342,0.46875,4.0,0.1171875,0.0,0.0,0.0,0.0,0.0,0.0,0.47618201933801174,0.497893781401217,-0.021711762063205242,186.21014046669006,181.54468178749084,4.665458679199219,7.778151929145679,0.4517234265804291,0.5156419773896536,-0.06391855080922448,2,15,164.4273223876953,208.73934936523438,-44.31202697753906,0.47618201933801174,0.497893781401217,-0.021711762063205242,0.0,0.0,0.09375,1.0,0.0109375,0.02329727564102563,0.03275240384615383
13162,16,15.06308856757451,16.0,0.9414430354734069,3.68359375,4.0,0.9208984375,0.9744894033980523,0.954434002924965,0.020055400473087293,0.2412109375,0.234375,0.0068359375,0.5706170983612537,0.45368937868624926,0.11692771967500448,366.82333874702454,297.298814535141,69.52452421188354,8.103604538133368,0.53874534839078,0.46559650674462316,0.07314884164615687,1,16,337.7405965704667,299.969425201416,37.771171369050705,0.6171988867796384,0.433844165255626,0.1833547215240124,0.59375,0.625,0.75,0.04556599707503495,0.15546875,0.03561698717948717,0.04807692307692307
13784,16,6.3453830480074105,16.0,0.39658644050046316,1.2041015625,4.0,0.301025390625,0.0,0.6252624052234231,-0.6252624052234231,0.0,0.1318359375,-0.1318359375,0.5831333445385098,0.41994913946837187,0.16318420507013798,421.73411750793457,300.20784974098206,121.52626776695251,7.574511111713946,0.670154832303524,0.3638122469186783,0.3063425853848457,2,16,623.6590957641602,273.3905548095703,350.26854095458987,0.5831333445385098,0.43034486031090774,0.1527884842276021,0.0,0.15625,0.15625,0.37473759477657687,-0.0078125,0.029387019230769217,0.04010416666666665
13941,16,5.620637548423516,16.0,0.35128984677646974,1.0458984375,4.0,0.261474609375,0.3372900666170139,0.4488644887230294,-0.11157442210601554,0.05859375,0.0849609375,-0.0263671875,0.16695660003460944,0.17658547637984157,-0.009628876345232129,155.50799775123596,155.83214402198792,-0.3241462707519531,2.67455164832063,0.2067386955022812,0.21012104054292044,-0.003382345040639251,1,16,144.98976135253906,139.03431701660156,5.9554443359375,0.16430446033676466,0.17311628008710928,-0.008811819750344618,0.0625,0.09375,0.15625,0.5511355112769706,-0.06328125,-0.00044070512820513623,0.017047275641025626
14880,16,14.2119805863693,16.0,0.8882487866480813,3.419921875,4.0,0.85498046875,0.8960382325345574,0.9283620723948676,-0.03232383986031018,0.21484375,0.2255859375,-0.0107421875,0.20270553906448185,0.2205704553052783,-0.017864916240796447,137.1217908859253,152.58970880508423,-15.467917919158936,3.212697647046298,0.19818970798091454,0.23900259747391656,-0.04081288949300202,1,16,126.97749120538884,155.9901871454148,-29.012695940025964,0.21264036744832993,0.18538182025605981,0.02725854719227011,0.6875,0.65625,0.875,0.07163792760513243,0.096875,0.028305288461538458,0.03802083333333332
