source_problem,target_problem,initial_step,final_step,target_p_initial,target_p_final,target_n_initial,target_n_final,target_success_initial,target_success_final,delta_p,positive_delta_p,delta_p_permutation_p_value,delta_p_significant_0p05,target_H_initial_bits,target_H_final_bits,target_H_drop_bits,target_var_initial,target_var_final,target_var_drop,source_num_steps,source_p_start,source_p_final,source_p_max,source_H_start_bits,source_H_final_bits,source_H_drop_bits,source_H_sum_bits,source_H_mean_bits,source_H_max_bits,source_var_start,source_var_final,source_var_drop,source_var_sum,source_var_mean,source_var_max,info_weighted_delta_bits,info_weighted_positive_bits,var_weighted_delta,var_weighted_positive,info_dir,validation_dir,has_target_initial,has_target_final,target_p_common_initial,delta_p_vs_common_initial,positive_delta_p_vs_common_initial,target_H_common_initial_bits,target_H_drop_common_bits,target_var_common_initial,target_var_drop_common,info_weighted_delta_common_bits,info_weighted_positive_common_bits,var_weighted_delta_common,var_weighted_positive_common,R_info_weighted_positive,R_variance_weighted_positive,R_info_weighted_positive_common,R_variance_weighted_positive_common
12365,9857,0,16,0.625,0.96875,32,32,20,31,0.34375,0.34375,0.001152900337629,True,0.954434002924965,0.2006223243127146,0.7538116786122504,0.234375,0.0302734375,0.2041015625,16,0.1875,0.4375,0.75,0.6962122601251458,0.9886994082884974,-0.2924871481633516,14.54157371129917,0.908848356956198,1.0,0.15234375,0.24609375,-0.09375,3.521484375,0.2200927734375,0.25,4.99866596325909,4.99866596325909,1.21051025390625,1.21051025390625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/validation,True,True,0.66171875,0.30703125,0.30703125,0.923164475409984,0.7225421510972695,0.2238470458984374,0.1935736083984374,4.464717553547323,4.464717553547323,1.0812057495117189,1.0812057495117189,0.6470588235294118,0.6470588235294118,0.6,0.6
8354,8354,0,16,0.0625,0.375,32,32,2,12,0.3125,0.3125,0.0051647197531891,True,0.3372900666170139,0.954434002924965,-0.6171439363079512,0.05859375,0.234375,-0.17578125,16,0.0625,0.5625,0.5625,0.3372900666170139,0.9886994082884974,-0.6514093416714836,10.49916233050677,0.6561976456566732,0.9886994082884974,0.05859375,0.24609375,-0.1875,2.3115234375,0.14447021484375,0.24609375,3.280988228283366,3.280988228283366,0.72235107421875,0.72235107421875,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8354/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8354_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8354/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8354_rollout32_step16/validation,True,True,0.07109375,0.30390625,0.30390625,0.3699921191407481,-0.5844418837842169,0.0660394287109375,-0.1683355712890625,3.190761052005573,3.190761052005573,0.7024864196777344,0.7024864196777344,1.0,1.0,1.0,1.0
9195,9195,0,16,0.09375,0.4375,32,32,3,14,0.34375,0.34375,0.0038259770837475,True,0.4488644887230294,0.9886994082884974,-0.539834919565468,0.0849609375,0.24609375,-0.1611328125,16,0.1875,0.15625,0.34375,0.6962122601251458,0.6252624052234231,0.0709498549017226,12.258446886064004,0.7661529303790003,0.9283620723948676,0.15234375,0.1318359375,0.0205078125,2.7841796875,0.17401123046875,0.2255859375,4.213841117084502,4.213841117084502,0.957061767578125,0.957061767578125,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_9195/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_9195_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_9195/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_9195_rollout32_step16/validation,True,True,0.13359375,0.30390625,0.30390625,0.5672123229539054,-0.421487085334592,0.1157464599609375,-0.1303472900390624,3.725418623967889,3.725418623967889,0.8461296081542968,0.8461296081542968,1.0,1.0,1.0,1.0
1139,12365,0,16,0.25,0.46875,32,32,8,15,0.21875,0.21875,0.1171588670883518,False,0.8112781244591328,0.9971803988942642,-0.1859022744351314,0.1875,0.2490234375,-0.0615234375,16,0.375,0.46875,0.6875,0.954434002924965,0.9971803988942642,-0.0427463959692991,15.545373609939784,0.9715858506212366,1.0,0.234375,0.2490234375,-0.0146484375,3.8447265625,0.24029541015625,0.25,3.400550477174328,3.400550477174328,0.841033935546875,0.841033935546875,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_1139/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_1139_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_1139/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_1139_rollout32_step16/validation,True,True,0.17578125,0.29296875,0.29296875,0.670760475968549,-0.3264199229257152,0.1448822021484375,-0.1041412353515625,4.554308674787047,4.554308674787047,1.126384735107422,1.126384735107422,1.1666666666666667,1.1666666666666667,1.3440860215053765,1.3440860215053765
1139,9857,0,16,0.78125,0.9375,32,32,25,30,0.15625,0.15625,0.1477164709495249,False,0.7578784625383954,0.3372900666170139,0.4205883959213815,0.1708984375,0.05859375,0.1123046875,16,0.375,0.46875,0.6875,0.954434002924965,0.9971803988942642,-0.0427463959692991,15.545373609939784,0.9715858506212366,1.0,0.234375,0.2490234375,-0.0146484375,3.8447265625,0.24029541015625,0.25,2.4289646265530918,2.4289646265530918,0.600738525390625,0.600738525390625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_1139/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_1139_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_1139/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_1139_rollout32_step16/validation,True,True,0.66171875,0.27578125,0.27578125,0.923164475409984,0.5858744087929703,0.2238470458984374,0.1652532958984374,4.287122565866206,4.287122565866206,1.060303497314453,1.060303497314453,0.8333333333333333,0.8333333333333334,1.2652329749103943,1.265232974910394
8993,12365,0,16,0.125,0.4375,32,32,4,14,0.3125,0.3125,0.0111478367333365,True,0.5435644431995964,0.9886994082884974,-0.445134965088901,0.109375,0.24609375,-0.13671875,16,0.5625,0.71875,0.875,0.9886994082884974,0.8571484374283715,0.1315509708601259,12.404615853586712,0.7752884908491695,0.9886994082884974,0.24609375,0.2021484375,0.0439453125,2.8466796875,0.17791748046875,0.24609375,3.876442454245848,3.876442454245848,0.88958740234375,0.88958740234375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/validation,True,True,0.17578125,0.26171875,0.26171875,0.670760475968549,-0.3179389323199484,0.1448822021484375,-0.1012115478515625,3.246520555430897,3.246520555430897,0.7450294494628906,0.7450294494628906,1.25,1.25,1.046875,1.046875
17768,3689,0,16,0.5625,0.71875,32,32,18,23,0.15625,0.15625,0.2974079700898594,False,0.9886994082884974,0.8571484374283715,0.1315509708601259,0.24609375,0.2021484375,0.0439453125,16,0.6875,0.875,0.90625,0.8960382325345574,0.5435644431995964,0.352473789334961,11.806361522768327,0.7378975951730206,0.954434002924965,0.21484375,0.109375,0.10546875,2.6630859375,0.16644287109375,0.234375,1.8447439879325516,1.8447439879325516,0.416107177734375,0.416107177734375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_17768/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_17768_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_17768/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_17768_rollout32_step16/validation,True,True,0.45859375,0.26015625,0.26015625,0.9950473936711984,0.1378989562428269,0.2482855224609375,0.0461370849609374,3.071498739907698,3.071498739907698,0.6928184509277343,0.6928184509277343,1.25,1.25,4.111111111111114,4.111111111111113
12365,8993,0,16,0.53125,0.78125,32,32,17,25,0.25,0.25,0.0642596738161705,False,0.9971803988942642,0.7578784625383954,0.2393019363558688,0.2490234375,0.1708984375,0.078125,16,0.1875,0.4375,0.75,0.6962122601251458,0.9886994082884974,-0.2924871481633516,14.54157371129917,0.908848356956198,1.0,0.15234375,0.24609375,-0.09375,3.521484375,0.2200927734375,0.25,3.6353934278247926,3.6353934278247926,0.88037109375,0.88037109375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/validation,True,True,0.53125,0.25,0.25,0.9971803988942642,0.2393019363558688,0.2490234375,0.078125,3.6353934278247926,3.6353934278247926,0.88037109375,0.88037109375,0.4705882352941176,0.4705882352941176,0.4885496183206106,0.4885496183206106
8993,8993,0,16,0.53125,0.78125,32,32,17,25,0.25,0.25,0.0642596738161705,False,0.9971803988942642,0.7578784625383954,0.2393019363558688,0.2490234375,0.1708984375,0.078125,16,0.5625,0.71875,0.875,0.9886994082884974,0.8571484374283715,0.1315509708601259,12.404615853586712,0.7752884908491695,0.9886994082884974,0.24609375,0.2021484375,0.0439453125,2.8466796875,0.17791748046875,0.24609375,3.101153963396678,3.101153963396678,0.711669921875,0.711669921875,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/validation,True,True,0.53125,0.25,0.25,0.9971803988942642,0.2393019363558688,0.2490234375,0.078125,3.101153963396678,3.101153963396678,0.711669921875,0.711669921875,1.0,1.0,1.0,1.0
17768,8993,0,16,0.625,0.78125,32,32,20,25,0.15625,0.15625,0.2737033569331197,False,0.954434002924965,0.7578784625383954,0.1965555403865696,0.234375,0.1708984375,0.0634765625,16,0.6875,0.875,0.90625,0.8960382325345574,0.5435644431995964,0.352473789334961,11.806361522768327,0.7378975951730206,0.954434002924965,0.21484375,0.109375,0.10546875,2.6630859375,0.16644287109375,0.234375,1.8447439879325516,1.8447439879325516,0.416107177734375,0.416107177734375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_17768/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_17768_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_17768/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_17768_rollout32_step16/validation,True,True,0.53125,0.25,0.25,0.9971803988942642,0.2393019363558688,0.2490234375,0.078125,2.9515903806920822,2.9515903806920822,0.665771484375,0.665771484375,1.25,1.25,3.95061728395062,3.95061728395062
