pair,status,step_max,pair_sum_Hdmaxp,single_sum_Hdmaxp,delta_sum_Hdmaxp,pair_sum_H,single_sum_H,delta_sum_H
2767+9078,stopped,22,0.2043321188535274,0.7680125161702678,-0.5636803973167405,11.750425658465034,14.00155963144124,-2.2511339729762057
8785+9003,succeeded,40,0.7754347209419766,0.8039266275556385,-0.028491906613661893,14.784372609094886,25.707157095715072,-10.922784486620186
9003+9483,succeeded,40,0.3831069935332438,0.30224044912995696,0.08086654440328685,15.410122531809924,12.152388304866287,3.2577342269436365
9793+2767,succeeded,40,0.9774008126247309,0.9598006463394837,0.017600166285247236,35.68586561465911,29.81354649914962,5.872319115509487
9793+9483,succeeded,40,0.4215217233358879,0.49400095680341943,-0.07247923346753159,9.744959980124738,15.471222773346364,-5.7262627932216255
