pair,status,step_max,pair_sum_Vdmaxp,single_sum_Vdmaxp,delta_sum_Vdmaxp,pair_net_var_int,single_net_var_int,delta_net_var_int
2767+9078,stopped,22,0.0675048828125,0.24895095825195312,-0.18144607543945312,0.043670654296875,0.3187065124511719,-0.2750358581542969
8785+9003,succeeded,40,0.2579345703125,0.2691078186035156,-0.011173248291015625,0.2854410807291667,0.27630869547526044,0.009132385253906264
9003+9483,succeeded,40,0.129364013671875,0.10107040405273438,0.028293609619140625,0.14062500000000003,0.10917663574218751,0.031448364257812514
9793+2767,succeeded,40,0.3277587890625,0.3226890563964844,0.005069732666015625,0.321441650390625,0.3266029357910156,-0.0051612854003906805
9793+9483,succeeded,40,0.13922119140625,0.165863037109375,-0.026641845703125,0.15538533528645834,0.16441726684570312,-0.009031931559244782
