pair,step,pair_sum_I,single_sum_I,delta_sum_I,pair_mean_p,single_mean_p,delta_mean_p,pair_mean_entropy,single_mean_entropy,delta_mean_entropy
2767+9078,22,11.750425658465035,14.00155963144124,-2.251133972976204,0.171875,0.9296875,-0.7578125,0.2512399851111695,0.09055064522544849,0.16068933988572104
8785+9003,40,14.784372609094888,25.707157095715075,-10.922784486620188,0.984375,0.9921875,-0.0078125,0.0529676837613806,0.0916906091151759,-0.038722925353795304
9003+9483,40,15.410122531809924,12.152388304866287,3.2577342269436365,0.5,0.5,0.0,0.21017791482154274,0.2212875399272889,-0.011109625105746146
9793+2767,40,35.68586561465911,29.813546499149616,5.872319115509491,0.90625,0.9921875,-0.0859375,0.1794339857297018,0.0729380038683302,0.10649598186137159
9793+9483,40,9.74495998012474,15.471222773346359,-5.726262793221618,0.5,0.4921875,0.0078125,0.1358111051958985,0.21400025812909004,-0.07818915293319154
