target_problem,mean_delta_p_all,mean_positive_delta_p_all,mean_delta_p_offdiag,mean_positive_delta_p_offdiag,self_delta_p
12592,0.140625,0.15625,0.026785714285714284,0.044642857142857144,0.9375
12008,0.171875,0.171875,0.05357142857142857,0.05357142857142857,1.0
11149,-0.1640625,0.0546875,-0.25,0.0,0.4375
14376,0.1953125,0.203125,0.08035714285714286,0.08928571428571429,1.0
11522,0.15625,0.1640625,0.03571428571428571,0.044642857142857144,1.0
9483,0.015625,0.015625,0.017857142857142856,0.017857142857142856,0.0
3595,-0.046875,0.109375,-0.13392857142857142,0.044642857142857144,0.5625
9337,0.140625,0.1953125,0.05357142857142857,0.11607142857142858,0.75
