condition,imagereward,pickscore,hpsv2
no_rl,-0.11530326143586636,-0.4470398312464338,-0.1860778745566656
imagereward,-0.1501102149968019,-0.38044548743633444,-0.12875481613247325
pickscore,-0.07841805824628707,-0.36005610087050316,-0.09472344538181104
ir_ps,-0.07549452690603736,-0.3487300176430961,-0.0957750393497802
