condition,eval_step,reward_model,raw_score,calibrated_z,r01
imagereward,0.0,hpsv2,0.208843994140625,-0.2689076802890466,0.44195137056564543
imagereward,0.0,imagereward,-0.4978402379201725,-0.12163143537203994,0.4731873503385081
imagereward,0.0,pickscore,19.66317934989929,-0.5528096317860915,0.3751513529535096
imagereward,1.0,hpsv2,0.21231231689453126,-0.2180508060508775,0.45149377850364497
imagereward,1.0,imagereward,-0.6234040869865567,-0.197317095464728,0.45570160854128705
imagereward,1.0,pickscore,19.706073760986328,-0.533307753561292,0.37989788342474345
imagereward,2.0,hpsv2,0.214990234375,-0.17878383980011342,0.46293105615032537
imagereward,2.0,imagereward,-0.3449140425771475,-0.029452674318920225,0.49468568999908086
imagereward,2.0,pickscore,19.87608847618103,-0.4560108240050516,0.39670729952304307
imagereward,3.0,hpsv2,0.2193817138671875,-0.1143904900168091,0.4741352698547045
imagereward,3.0,imagereward,-0.511925941798836,-0.13012182336072892,0.4711415764273378
imagereward,3.0,pickscore,20.068639087677003,-0.3684679837528395,0.4164737400139372
imagereward,4.0,hpsv2,0.21377410888671874,-0.19661618857610144,0.45969410577991904
imagereward,4.0,imagereward,-0.6776362692355178,-0.23000642875849744,0.4490485913999513
imagereward,4.0,pickscore,19.772903823852538,-0.5029235679589296,0.3893654180789237
imagereward,5.0,hpsv2,0.2128387451171875,-0.21033165883918886,0.4541093498370685
imagereward,5.0,imagereward,-0.5150569215416908,-0.1320090725199158,0.469814361447994
imagereward,5.0,pickscore,19.8451208114624,-0.4700902252823808,0.39342541667629033
imagereward,6.0,hpsv2,0.2107696533203125,-0.2406712635320869,0.44415056863561475
imagereward,6.0,imagereward,-0.5329836742952466,-0.1428147154303522,0.46727557908119144
imagereward,6.0,pickscore,19.738074636459352,-0.5187586045988419,0.3829384168005446
imagereward,7.0,hpsv2,0.2141448974609375,-0.1911792240183033,0.4566809986977255
imagereward,7.0,imagereward,-0.6729197441018187,-0.22716346622794417,0.44800436113951925
imagereward,7.0,pickscore,19.849379706382752,-0.4681539252375956,0.3991822938497451
imagereward,8.0,hpsv2,0.2202728271484375,-0.10132387560629844,0.47874235911495056
imagereward,8.0,imagereward,-0.3251051135361195,-0.017512518921113118,0.4958533396509954
imagereward,8.0,pickscore,20.097754287719727,-0.3552308026997699,0.41665393575924253
imagereward,9.0,hpsv2,0.2198974609375,-0.10682796318332861,0.4773710480664534
imagereward,9.0,imagereward,-0.3505547212902457,-0.03285268550801576,0.4948464108271498
imagereward,9.0,pickscore,20.068085145950317,-0.36871983250944135,0.4140453963751539
imagereward,10.0,hpsv2,0.218402099609375,-0.12875481613247325,0.47164025675656057
imagereward,10.0,imagereward,-0.5450870371423662,-0.1501102149968019,0.46590282304821773
imagereward,10.0,pickscore,20.042294549942017,-0.38044548743633444,0.4162279122752269
ir_ps,0.0,hpsv2,0.208843994140625,-0.2689076802890466,0.44195137056564543
ir_ps,0.0,imagereward,-0.4978402379201725,-0.12163143537203994,0.4731873503385081
ir_ps,0.0,pickscore,19.663179636001587,-0.5528095017101219,0.37515138330868825
ir_ps,1.0,hpsv2,0.2122100830078125,-0.2195498868137272,0.45168195141599055
