condition,eval_step,reward_disagreement_std
imagereward,0.0,0.25093384546245406
imagereward,1.0,0.2526078807870772
imagereward,2.0,0.2945267044560336
imagereward,3.0,0.22285930879106028
imagereward,4.0,0.28411374016926844
imagereward,5.0,0.2840216663417877
imagereward,6.0,0.2789825481597229
imagereward,7.0,0.22538056308156834
imagereward,8.0,0.2805268922502645
imagereward,9.0,0.2584088665307298
imagereward,10.0,0.27642457422470035
ir_ps,0.0,0.25093381361717537
ir_ps,1.0,0.25276716028873725
ir_ps,2.0,0.29509536744344456
ir_ps,3.0,0.22724443100042122
ir_ps,4.0,0.27551200972688916
ir_ps,5.0,0.28462750151799454
ir_ps,6.0,0.2749831813827333
ir_ps,7.0,0.2273846163228488
ir_ps,8.0,0.27806852345258226
ir_ps,9.0,0.25037360243462997
ir_ps,10.0,0.270702705876393
no_rl,0.0,0.2415730759598417
no_rl,1.0,0.29991017915499507
no_rl,2.0,0.24922171480209912
no_rl,3.0,0.25713694534168907
no_rl,4.0,0.2853525733993001
no_rl,5.0,0.30317244633745466
no_rl,6.0,0.2405356066750599
no_rl,7.0,0.24886487714207814
no_rl,8.0,0.2787376000301514
no_rl,9.0,0.25956392730467315
no_rl,10.0,0.25862413934115736
pickscore,0.0,0.25093381361717537
pickscore,1.0,0.2672939425737433
pickscore,2.0,0.2832799547925493
pickscore,3.0,0.24347318077483018
pickscore,4.0,0.2807545945670063
pickscore,5.0,0.2830106169210724
pickscore,6.0,0.28483229096756535
pickscore,7.0,0.2215093754704874
pickscore,8.0,0.27092115803708716
pickscore,9.0,0.2686938285725447
pickscore,10.0,0.2542620743381299
