prompt_id,no_rl,imagereward,pickscore,ir_ps,delta_imagereward,delta_pickscore,delta_ir_ps,best_single,ir_ps_minus_best_single
parti_00233,-0.6839069338612247,-0.568455340782055,-0.4668758383441809,-0.5134144650117531,0.11545159307916975,0.2170310955170438,0.17049246884947156,-0.4668758383441809,-0.04653862666757225
parti_00300,-0.08651206269575379,0.06071109281993153,0.22270131256667342,0.2164364974383464,0.14722315551568532,0.3092133752624272,0.3029485601341002,0.22270131256667342,-0.006264815128327023
parti_00308,0.023569688844849807,-0.214045799236697,-0.2659542674428353,-0.20062119539028192,-0.2376154880815468,-0.2895239562876851,-0.22419088423513173,-0.214045799236697,0.013424603846415084
parti_00422,0.8518677461686599,0.5256498727007737,0.859027534886748,0.5905354579584465,-0.3262178734678862,0.007159788718088089,-0.26133228821021337,0.859027534886748,-0.26849207692830146
parti_00555,-0.7223907982209479,-0.387670675650332,-0.3941592341760993,-0.4494238533438413,0.3347201225706159,0.32823156404484854,0.2729669448771066,-0.387670675650332,-0.0617531776935093
parti_00674,-0.7957786325813503,-0.5371312651404198,-0.6481079902707845,-0.6400532279629354,0.25864736744093053,0.14767064231056581,0.1557254046184149,-0.5371312651404198,-0.10292196282251564
parti_00708,0.41691058154481153,0.5498141596243207,0.5511566200089623,0.6102248769331886,0.13290357807950914,0.13424603846415073,0.19331429538837708,0.5511566200089623,0.05906825692422635
parti_00861,-0.40646512103531307,-0.20106868218516244,-0.4288394607793382,-0.306675565776961,0.20539643885015063,-0.02237433974402514,0.09978955525835209,-0.20106868218516244,-0.10560688359179854
parti_00973,-0.4825378761649985,-0.7487925191188974,-0.5331038839864953,-0.48567028372916204,-0.26625464295389895,-0.05056600782149684,-0.003132407564163553,-0.5331038839864953,0.047433600257333286
parti_00995,0.02446466243461083,0.23344099564380547,0.15692075371923955,0.2209113653871514,0.20897633320919462,0.1324560912846287,0.19644670295254058,0.23344099564380547,-0.012529630256654073
