scope,condition,reward_model,n,raw_mean,raw_var,raw_std,z_mean,z_var,z_std,z_sem
all_rollouts,imagereward,hpsv2,440,0.21505709561434658,0.002291910774538324,0.04787390494349008,-0.17780343691314793,0.492785617805375,0.7019869071466895,0.03346591270522939
all_rollouts,imagereward,imagereward,440,-0.5088570718568834,1.9627000013475941,1.4009639543355832,-0.12827201189809614,0.7131023839368644,0.8444538968687778,0.04025775995035177
all_rollouts,imagereward,pickscore,440,19.88432669422843,2.1218402871561772,1.4566537979754068,-0.45226533080259707,0.4385954806484226,0.6622654155611801,0.03157226489443855
all_rollouts,ir_ps,hpsv2,440,0.21594127308238636,0.002238962840505652,0.04731767999918902,-0.1648385240469283,0.4814012390269017,0.6938308432369533,0.03307708761455791
all_rollouts,ir_ps,imagereward,440,-0.48015750512607736,1.9467080488656112,1.3952447989029062,-0.11097287947625693,0.7072920719019752,0.8410065825556748,0.04009341568880603
all_rollouts,ir_ps,pickscore,440,19.93376788226041,2.064058240158746,1.4366830687937915,-0.42978697047885706,0.4266516294410095,0.6531857541626345,0.031139409021112018
all_rollouts,no_rl,hpsv2,440,0.21572404341264204,0.0020376820751359975,0.04514069200993708,-0.16802381641412314,0.4381236963681985,0.6619091299930818,0.03155527964642506
all_rollouts,no_rl,imagereward,440,-0.5162474513445473,1.9761637427470944,1.4057609123699144,-0.13272668379624397,0.7179941280047816,0.8473453416434067,0.04039560417142568
all_rollouts,no_rl,pickscore,440,19.879111595587297,1.7320717138131372,1.316081955583746,-0.45463636740275876,0.35802827877096205,0.5983546429760214,0.028525438358951966
all_rollouts,pickscore,hpsv2,440,0.21639848188920455,0.0022988312071365556,0.047946128176700104,-0.15813435824726405,0.4942735857015454,0.703045934275667,0.0335163998426532
all_rollouts,pickscore,imagereward,440,-0.4514344641420228,2.0141065093862682,1.4191922031163602,-0.09365959756501055,0.7317797688693953,0.8554412714321161,0.04078156248036035
all_rollouts,pickscore,pickscore,440,19.94091358618303,2.128898292880692,1.4590744644742064,-0.42653818714793273,0.4400544073319724,0.6633659678729174,0.03162473166727601
final_eval,imagereward,hpsv2,40,0.218402099609375,0.0018101216508791995,0.04254552445180573,-0.12875481613247325,0.3891957426706867,0.6238555463171637,0.09864022286454531
final_eval,imagereward,imagereward,40,-0.5450870371423662,1.765667497275095,1.3287842177250206,-0.1501102149968019,0.6415151070882995,0.8009463821556968,0.12664074256418226
final_eval,imagereward,pickscore,40,20.042294549942017,2.2593173179861274,1.5031025640275275,-0.38044548743633444,0.4670127016711196,0.6833832758204722,0.10805238332298825
final_eval,ir_ps,hpsv2,40,0.2206512451171875,0.001988076160733516,0.044587847679984687,-0.0957750393497802,0.42745788797495876,0.6538026368675479,0.10337527363627129
final_eval,ir_ps,imagereward,40,-0.4212982905562967,1.8928382507083052,1.3758045830379784,-0.07549452690603736,0.6877197065574004,0.8292886750447038,0.13112205254622505
final_eval,ir_ps,pickscore,40,20.112052774429323,2.4338940656104757,1.5600942489511573,-0.3487300176430961,0.5030986281179971,0.7092944579777831,0.11214930094721913
final_eval,no_rl,hpsv2,40,0.2144927978515625,0.0018434770500812775,0.04293573162391993,-0.1860778745566656,0.39636751444537627,0.6295772505780178,0.09954490374265478
final_eval,no_rl,imagereward,40,-0.4873416854068637,1.8884392586962293,1.3742049551272288,-0.11530326143586636,0.6861214329095802,0.8283244732045408,0.13096959884927303
final_eval,no_rl,pickscore,40,19.89582018852234,1.7845980235690173,1.3358884772199426,-0.4470398312464338,0.3688857416127789,0.6073596476658446,0.0960319922750719
final_eval,pickscore,hpsv2,40,0.22072296142578124,0.002244962787685486,0.04738103827150146,-0.09472344538181104,0.48269129259733773,0.6947598812520321,0.10985118258322686
final_eval,pickscore,imagereward,40,-0.4261484807706438,1.9407319088398232,1.3931015429033962,-0.07841805824628707,0.7051207774116284,0.8397147000092522,0.13277055183771252
final_eval,pickscore,pickscore,40,20.087141036987305,2.6486900725772453,1.6274796688675546,-0.36005610087050316,0.5474980857431592,0.7399311358114072,0.1169933850419714
train_rollouts,imagereward,hpsv2,400,0.21472259521484374,0.002343513201408667,0.04840984612048118,-0.1827082989912154,0.5038806979839133,0.7098455451602929,0.03549227725801464
train_rollouts,imagereward,imagereward,400,-0.5052340753283352,1.986733116142715,1.4095152060700569,-0.12608819158822557,0.7218342693202965,0.849608303467131,0.04248041517335655
train_rollouts,imagereward,pickscore,400,19.868529908657074,2.1109687758115236,1.4529173327521163,-0.4594473151392233,0.4363482824156216,0.6605666373770489,0.03302833186885244
train_rollouts,ir_ps,hpsv2,400,0.21547027587890624,0.002266650696502144,0.04760935513638201,-0.1717448725166431,0.48735442768263637,0.6981077479033135,0.034905387395165674
train_rollouts,ir_ps,imagereward,400,-0.4860434265830554,1.9564704455143598,1.3987388768152402,-0.11452071473327889,0.7108390165793993,0.8431126950647815,0.04215563475323907
train_rollouts,ir_ps,pickscore,400,19.91593939304352,2.0295767838314562,1.4246321573765828,-0.4378926657624332,0.41952413214403117,0.6477068257661264,0.03238534128830632
train_rollouts,pickscore,hpsv2,400,0.21596603393554686,0.00230779574383377,0.048039522726956496,-0.16447544953380933,0.4962010580987052,0.7044154016620485,0.035220770083102426
train_rollouts,pickscore,imagereward,400,-0.45396306247916074,2.02625584063608,1.4234661361044316,-0.0951837514968829,0.7361939519190368,0.8580174543207363,0.04290087271603681
train_rollouts,pickscore,pickscore,400,19.9262908411026,2.081069195939568,1.4425911395608833,-0.43318639577567575,0.43016788293668534,0.6558718494772323,0.03279359247386161
