condition,ir_ps_train_objective_z,all_reward_mean_z,hpsv2_z
no_rl,-0.2811715463411501,-0.24947365574632194,-0.1860778745566656
imagereward,-0.26527785121656816,-0.2197701728552032,-0.12875481613247325
pickscore,-0.2192370795583951,-0.1777325348328671,-0.09472344538181104
ir_ps,-0.21211227227456672,-0.17333319463297123,-0.0957750393497802
