condition,imagereward,pickscore,hpsv2
no_rl,-0.13272668379624397,-0.45463636740275876,-0.16802381641412314
imagereward,-0.12827201189809614,-0.45226533080259707,-0.17780343691314793
pickscore,-0.09365959756501055,-0.42653818714793273,-0.15813435824726405
ir_ps,-0.11097287947625693,-0.42978697047885706,-0.1648385240469283
