condition,imagereward,pickscore,hpsv2
no_rl,0.7179941280047816,0.35802827877096205,0.4381236963681985
imagereward,0.7131023839368644,0.4385954806484226,0.492785617805375
pickscore,0.7317797688693953,0.4400544073319724,0.4942735857015454
ir_ps,0.7072920719019752,0.4266516294410095,0.4814012390269017
