prompt_id,no_rl,imagereward,pickscore,ir_ps,delta_imagereward,delta_pickscore,delta_ir_ps,best_single,ir_ps_minus_best_single
parti_00233,-0.554135763345879,-0.6090545972630315,-0.5997387358059737,-0.5734183761434569,-0.054918833917152465,-0.045602972460094704,-0.019282612797577925,-0.5997387358059737,0.02632035966251678
parti_00300,0.13893992068858663,-0.06147314249130387,-0.03822416946637594,-0.037980085760077484,-0.2004130631798905,-0.17716409015496257,-0.17692000644866412,-0.03822416946637594,0.00024408370629845633
parti_00308,0.13584819374213952,0.06783020092030315,0.07271187504627227,0.10249008721468389,-0.06801799282183638,-0.06313631869586725,-0.03335810652745563,0.07271187504627227,0.029778212168411616
parti_00422,0.6853212972376802,0.7433318581012799,0.8137093267506681,0.760539759395321,0.05801056086359968,0.1283880295129879,0.07521846215764083,0.8137093267506681,-0.05316956735534706
parti_00555,-0.25995387632966493,-0.44844751851864745,-0.37343245944958875,-0.3892368794324137,-0.1884936421889825,-0.11347858311992381,-0.12928300310274876,-0.37343245944958875,-0.015804419982824947
parti_00674,-0.8623931440919705,-1.0163286015308635,-1.0015005163732322,-1.0514156343112664,-0.15393545743889292,-0.1391073722812617,-0.18902249021929585,-1.0015005163732322,-0.04991511793803416
parti_00708,0.37411457170714885,0.3939260325350402,0.3856678671386092,0.3769622149472976,0.01981146082789137,0.011553295431460331,0.002847643240148745,0.3939260325350402,-0.016963817587742624
parti_00861,-0.5552341400242219,-0.5847682684863351,-0.5915619316449755,-0.6058815090811516,-0.02953412846211323,-0.03632779162075361,-0.05064736905692968,-0.5847682684863351,-0.02111324059481645
parti_00973,-0.7819472225577712,-0.46842170181740445,-0.4494645339615577,-0.42475105869883906,0.3135255207403667,0.33248268859621344,0.3571961638589321,-0.4494645339615577,0.024713475262718665
parti_00995,-0.000798001167279366,0.20537136941948306,0.20048969529351393,0.1943062414006197,0.20616937058676243,0.2012876964607933,0.19510424256789907,0.20537136941948306,-0.011065128018863363
